ADM1_EN,ADM1_PCODE,Sex,Age,pop_2015,pop_2020
Copperbelt,ZMB20,male,40-44,50965.5746212716,67595.379009229
Luapula,ZMB40,male,40-44,24222.7132407473,28866.5983004106
Lusaka,ZMB50,male,40-44,58538.2396656495,87471.765900526
North Western,ZMB60,male,40-44,15116.9131824555,20245.078722958
Southern,ZMB70,male,40-44,32000.655420263,46249.9619613358
Western,ZMB80,male,40-44,18452.4774459418,24392.3399364921
Central,ZMB10,female,45-49,22143.3095105704,25718.9574618506
Copperbelt,ZMB20,female,45-49,38718.4979076719,41450.5482835021
Luapula,ZMB40,female,45-49,19078.6094151653,21056.012527593
Lusaka,ZMB50,female,45-49,34576.869348146,41930.8850015454
North Western,ZMB60,female,45-49,11841.7856700076,14105.9981466685
Southern,ZMB70,female,45-49,26372.154028145,31579.9775252771
Western,ZMB80,female,45-49,17666.7432100534,19414.5172505624
Central,ZMB10,male,45-49,22033.6288360546,28768.8741012513
Copperbelt,ZMB20,male,45-49,38622.6303795811,48086.6853201669
Luapula,ZMB40,male,45-49,18734.8506869642,22854.4453677828
Lusaka,ZMB50,male,45-49,39237.3323372086,55231.6065518489
North Western,ZMB60,male,45-49,11536.2700438464,14263.0048290141
Southern,ZMB70,male,45-49,26262.2700530277,30193.0313051209
Western,ZMB80,male,45-49,13308.3736203599,17410.1551734383
Central,ZMB10,female,50-54,18609.1544428404,21201.4748780838
Copperbelt,ZMB20,female,50-54,29587.1158570232,37071.6672042763
Luapula,ZMB40,female,50-54,15002.6130664942,18267.1297180915
Lusaka,ZMB50,female,50-54,26880.0441086336,33106.1953502874
North Western,ZMB60,female,50-54,9703.17628687926,11338.1124483189
Southern,ZMB70,female,50-54,20120.9767770292,25250.4558039694
Western,ZMB80,female,50-54,16218.0457126341,16915.3101082955
Central,ZMB10,male,50-54,16878.637133814,20621.8303256538
Copperbelt,ZMB20,male,50-54,29694.9668261254,36147.896073509
Luapula,ZMB40,male,50-54,15137.6611382876,17534.4187628097
Lusaka,ZMB50,male,50-54,25667.85297764,36723.2208307519
North Western,ZMB60,male,50-54,8102.27440579465,10797.0883942263
Southern,ZMB70,male,50-54,17984.3439275267,24579.5271363671
Western,ZMB80,male,50-54,11356.3151280746,12455.6408672414
Central,ZMB10,female,55-59,12296.4222873778,17678.0923415968
Copperbelt,ZMB20,female,55-59,20467.7172473858,28106.7971786154
Luapula,ZMB40,female,55-59,9612.96729219721,14251.9958104169
Lusaka,ZMB50,female,55-59,15923.2485459638,25535.1728530504
North Western,ZMB60,female,55-59,6538.03439984938,9217.70206601392
Southern,ZMB70,female,55-59,12380.2611965458,19114.276423609
